curve_id,accession_id,system_id,temperature,source_path,first_npz_member,observable_method,frame_index,msd,ngp_2d,wave_numbers,self_intermediate_scattering_by_k,self_intermediate_scattering,overlap_radius,chi4_overlap,observable_curve_ready,trajectory_extraction_ready,real_reanalysis_ready,primary_blocker,curve_stage
glassbench_trajectory_first_npz_observable_curve_ka_tnone_frame_missing,glassbench_zenodo_10118191,KA,none,none,none,none,-1.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0.0,trajectory_payload,first_npz_observable_smoke_incomplete
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_0,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,0.0,0.0,0.0,0.7;1.1;1.6,1;1;1,1.0,0.1,0.0,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_1,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,1.0,0.00402634814811,0.0804633238738,0.7;1.1;1.6,0.999506907389;0.998782852888;0.99742682003,0.999506907389,0.1,109.650387597,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_2,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,2.0,0.00402655434562,0.0653986296421,0.7;1.1;1.6,0.999506877085;0.998782759775;0.997426550674,0.999506877085,0.1,111.272093023,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_3,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,3.0,0.00401850798937,0.078745299551,0.7;1.1;1.6,0.999507865058;0.998785207766;0.997431762674,0.999507865058,0.1,108.02248062,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_4,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,4.0,0.00417537106923,0.0402619066986,0.7;1.1;1.6,0.999488652163;0.998737773974;0.997331447838,0.999488652163,0.1,112.080620155,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_5,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,5.0,0.00421066219295,0.103785774797,0.7;1.1;1.6,0.99948434533;0.998727197874;0.997309305828,0.99948434533,0.1,108.02248062,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_6,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,6.0,0.00377248349953,0.0248372117777,0.7;1.1;1.6,0.999537981493;0.998859498742;0.997588630591,0.999537981493,0.1,88.8558139535,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_7,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,7.0,0.00400815309126,0.0244614373271,0.7;1.1;1.6,0.999509124529;0.998788285268;0.997438144713,0.999509124529,0.1,98.1248062016,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_8,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,8.0,0.00392999575991,0.0644048813335,0.7;1.1;1.6,0.999518701553;0.998811944614;0.997488240192,0.999518701553,0.1,102.275968992,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_9,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,9.0,0.00394536716652,0.0780120312683,0.7;1.1;1.6,0.999516819065;0.998807297874;0.997478416434,0.999516819065,0.1,93.092248062,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_10,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,10.0,0.00399842722134,0.0309212094574,0.7;1.1;1.6,0.999510316123;0.998791228413;0.997444374032,0.999510316123,0.1,98.1248062016,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_11,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,11.0,0.00375206203014,0.00760904635963,0.7;1.1;1.6,0.999540478668;0.998865649086;0.99760157895,0.999540478668,0.1,73.2837209302,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_12,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,12.0,0.00392558683589,0.0433523272838,0.7;1.1;1.6,0.999519240671;0.998813272361;0.997491035187,0.999519240671,0.1,89.7062015504,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_13,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,13.0,0.00401529403638,0.0235152447187,0.7;1.1;1.6,0.99950824707;0.998786108699;0.99743350086,0.99950824707,0.1,87.1503875969,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_14,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,14.0,0.0040472695383,0.0248934707501,0.7;1.1;1.6,0.999504338519;0.998776487616;0.997413266991,0.999504338519,0.1,107.20620155,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_15,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,15.0,0.00421017113473,0.0968655763375,0.7;1.1;1.6,0.999484398754;0.99872730545;0.997309437302,0.999484398754,0.1,108.837209302,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_16,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,16.0,0.00400554082638,0.149520844059,0.7;1.1;1.6,0.999509461582;0.998789179337;0.997440280471,0.999509461582,0.1,99.7899224806,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_17,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,17.0,0.00408940825374,0.03339034128,0.7;1.1;1.6,0.99949917808;0.998763750121;0.997386340544,0.99949917808,0.1,107.20620155,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_18,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,18.0,0.00400357150281,0.0700601398556,0.7;1.1;1.6,0.999509693291;0.998789716988;0.997441281411,0.999509693291,0.1,92.2480620155,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_23_frame_19,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,T0.23/test/N1290T0.23_202_tc05.npz,minimal_image_displacement_from_first_frame,19.0,0.00397840181484,0.0552307882648,0.7;1.1;1.6,0.999512771421;0.998797299396;0.997457249607,0.999512771421,0.1,96.4534883721,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
glassbench_trajectory_first_npz_observable_curve_ka2d_t0_30_frame_0,glassbench_zenodo_10118191,KA2D,0.30,GlassBench/KA2D_trajectories/T0.30.tar.xz,T0.30/train/N1290T0.30_3_tc01.npz,minimal_image_displacement_from_first_frame,0.0,0.0,0.0,0.7;1.1;1.6,1;1;1,1.0,0.1,0.0,1.0,0.0,0.0,single_npz_frame_index_curve,first_npz_observable_curve_ready_reanalysis_blocked
