epsilon,time,position_response_x_mean,position_response_x_standard_error,pair_force_response_x_mean,pair_force_response_x_standard_error,member_count,thermodynamic_claim_allowed
0.001,0.0,1.0000000000000009,0.0,-381.90200915564884,0.0,4,0
0.001,0.001,0.9998090489950207,2.7755575615628914e-14,-383.5841067077124,1.6944522273577425,4,0
0.001,0.002,0.9992347048349837,1.6944512905330806e-06,-385.03947047773755,3.391411037945491,4,0
0.001,0.003,0.9982758955475179,6.778417849963241e-06,-386.3242182029003,5.121108253542239,4,0
0.001,0.004,0.9969317208524953,1.6978042834337472e-05,-387.46672973334955,6.815842374014473,4,0
0.001,0.005,0.9952014236037365,3.398221962352927e-05,-388.31397294982486,8.55411022496084,4,0
0.001,0.006,0.993084542677547,5.952184964504293e-05,-388.7987580547376,10.230955073785145,4,0
0.001,0.007,0.9905809798724796,9.526468191868446e-05,-388.9818638768254,11.931179048528671,4,0
0.001,0.008,0.9876909387674659,0.00014290082242891114,-388.88482223507515,13.515499108742283,4,0
0.001,0.009000000000000001,0.9844149028837568,0.00020400406552635526,-388.5167341111373,14.99287191539933,4,0
0.001,0.01,0.9807536262975147,0.0002800384575590031,-387.7665422842495,16.381456537041274,4,0
0.001,0.011,0.9767082444487596,0.00037237748099625066,-386.4974033318505,17.65775468692334,4,0
0.001,0.012,0.9722804105800065,0.00048227974915188105,-384.8984935072872,18.834975963863595,4,0
0.001,0.013000000000000001,0.9674721060475011,0.0006109054518016217,-381.06424892605025,21.45923483457925,4,0
0.001,0.014,0.9622875455737312,0.0007608524479703517,-380.2450359389751,20.859147068110627,4,0
0.001,0.015,0.956727924622508,0.0009315054860874346,-375.55021778136256,20.539959291418313,4,0
0.001,0.016,0.9507983130749575,0.001122500503369444,-372.2333848850627,21.285366027338544,4,0
0.001,0.017,0.9445023977549816,0.0013345531150193884,-370.1684732596242,22.991847394364484,4,0
0.001,0.018000000000000002,0.9378426098725079,0.0015693656329087426,-366.01710719519986,23.44952553852943,4,0
0.001,0.019,0.9308234646774605,0.0018273562239861125,-361.3868130236119,23.742550566019933,4,0
0.001,0.02,0.9234499518112615,0.0021087741969098846,-356.30998682724993,23.96686226986103,4,0
