temperature,restart,model,lag,realization_count,predicted_msd,mc_se_msd,target_msd,predicted_ngp,mc_se_ngp,target_ngp,predicted_fs_k2,mc_se_fs_k2,target_fs_k2,predicted_fs_k4,mc_se_fs_k4,target_fs_k4,predicted_fs_k7p25,mc_se_fs_k7p25,target_fs_k7p25,support_pass,msd_relative_error,ngp_absolute_error,absolute_error_fs_k2,absolute_error_fs_k4,absolute_error_fs_k7p25,mc_relative_se_msd,restart_curve_gate_pass,restart_higher_order_gate_pass,restart_precision_pass,restart_maximum_higher_order_score,positive_memory_closure_claim_allowed,microdynamic_closure_claim_allowed,complete_microscopic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,thermodynamic_glass_transition_claim_allowed
0.45,1,contiguous_empirical_upper_control,100,1,0.05674208931829118,0,0.0570676716703697,1.5842593389778372,0,1.6297339342658397,0.963891491108379,0,0.9637263303218477,0.8715664994708165,0,0.8712844740845151,0.670010171970976,0,0.6701586799370863,1,0.005705197751173782,0.04547459528800246,0.00016516078653128208,0.00028202538630139884,0.0001485079661103228,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,1000,1,0.2034054689171925,0,0.21371648432894896,1.9318147653329767,0,2.035011317785304,0.8869026396620665,0,0.8825336715723144,0.6899705989020689,0,0.6840225543370759,0.43156064533345123,0,0.43196745142274323,1,0.04824623352818176,0.1031965524523275,0.004368968089752068,0.0059480445649929825,0.000406806089292,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,20,1,0.03929389062211697,0,0.039439034265083064,0.6731497960577877,0,0.6894572448102572,0.9743614743712828,0,0.9742726065504118,0.9034047335541043,0,0.9031194881740169,0.7279313603012417,0,0.7273620752980499,1,0.0036802027653754896,0.016307448752469478,8.886782087103029e-05,0.00028524538008745104,0.0005692850031918661,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,200,1,0.07441420880152319,0,0.07543971565197483,1.9594241106350694,0,2.0528096750212144,0.9537049456303189,0,0.9531991465279716,0.843307417963394,0,0.8424536039827798,0.6252300175680905,0,0.6251232912663965,1,0.013593726349428384,0.09338556438614498,0.0005057991023473818,0.0008538139806142375,0.00010672630169394903,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,2000,1,0.362555365631258,0,0.38494087781746295,1.530692726450921,0,1.5320813966552245,0.8161346559575013,0,0.8061233874084176,0.5656971380538441,0,0.5436221107653332,0.3121963487636597,0,0.29754222992878293,1,0.058153117728432145,0.0013886702043035548,0.01001126854908374,0.022075027288510962,0.014654118834876773,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,3000,1,0.5190956281188335,0,0.5507382500974113,1.3154707032548973,0,1.3301724324025965,0.7552627377733745,0,0.7425593344166428,0.4759574245800681,0,0.44897180267658227,0.23712336107040594,0,0.22221602781950803,1,0.057454919779007636,0.014701729147699183,0.012703403356731702,0.026985621903485857,0.014907333250897908,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,contiguous_empirical_upper_control,500,1,0.1221321991098382,0,0.12726889615088294,2.1227481773417103,0,2.240207131422164,0.9276561217551442,0,0.9252086699236458,0.778239440156132,0,0.7741688168233672,0.5352750895245924,0,0.533395281820343,1,0.04036097739823994,0.11745895408045381,0.002447451831498415,0.004070623332764756,0.0018798077042493366,0,1,1,1,0.8995207301161953,0,0,0,0,0,0
0.45,1,finite_exchange_environment,100,64,0.19666049902790442,5.675077156918005e-05,0.0570676716703697,0.19357883232997,0.0006251369611377581,1.6297339342658397,0.8785157120504227,3.105486609589181e-05,0.9637263303218477,0.6052382236714651,7.786979742150946e-05,0.8712844740845151,0.21440153780588334,9.772766244297441e-05,0.6701586799370863,1,2.4460929151594106,1.4361551019358696,0.08521061827142506,0.2660462504130501,0.455757142131203,0.0009944469418163738,0,0,0,24.31624384921277,0,0,0,0,0,0
0.45,1,finite_exchange_environment,1000,64,1.9756345623965113,0.0012097133790662789,0.21371648432894896,0.04133210632875224,0.0007066500535707611,2.035011317785304,0.2767950063876831,0.00026326958930487086,0.8825336715723144,0.008065073116289016,0.0001729116575556797,0.6840225543370759,-0.00011032211928721335,0.0001032230299628111,0.43196745142274323,1,8.244184268704544,1.993679211456552,0.6057386651846313,0.6759574812207869,0.4320777735420304,0.005660365333374601,0,0,0,24.31624384921277,0,0,0,0,0,0
0.45,1,finite_exchange_environment,20,64,0.03928628536911373,8.092284785955858e-06,0.039439034265083064,0.6722367562218381,0.001450986369634357,0.6894572448102572,0.974365911081253,5.015905302564703e-06,0.9742726065504118,0.9034176932798346,1.6986579764133684e-05,0.9031194881740169,0.7279620337428119,3.836815398458085e-05,0.7273620752980499,1,0.003873038445684489,0.01722048858841907,9.330453084122059e-05,0.0002982051058176838,0.0005999584447620165,0.0002051846587207202,0,0,0,24.31624384921277,0,0,0,0,0,0
